,street address,latitude,longitude,neighbourhood,Income_Class,Crime_Class
597,6511 chambord pl #40,49.223979,-123.025559,killarney,Low Class,Severe Crime
598,3061 e kent ave n #1205,49.207247,-123.044585,killarney,Low Class,Severe Crime
599,2658 morningstar cres #17,49.206541,-123.0541,killarney,Low Class,Severe Crime
600,3138 riverwalk ave #312,49.205651,-123.040863,killarney,Low Class,Severe Crime
601,8410 cornerstone st,49.207854,-123.033394,killarney,Low Class,Severe Crime
602,5884 ormidale st,49.230522,-123.024647,killarney,Low Class,Severe Crime
603,3133 riverwalk ave #318,49.206257,-123.040733,killarney,Low Class,Severe Crime
604,3438 sawmill cres #319,49.205784,-123.032766,killarney,Low Class,Severe Crime
605,3689 borham cres,49.216123,-123.024749,killarney,Low Class,Severe Crime
606,3204 coleridge ave,49.225992,-123.038514,killarney,Low Class,Severe Crime
607,2549 e kent ave n,49.206175,-123.055214,killarney,Low Class,Severe Crime
608,3364 marquette cres #439,49.212937,-123.031175,killarney,Low Class,Severe Crime
609,3588 sawmill cres #101,49.206218,-123.02787,killarney,Low Class,Severe Crime
610,1207 8533 river district crossing,49.20489,-123.031289,killarney,Low Class,Severe Crime
611,6810 arlington street,49.221347,-123.030206,killarney,Low Class,Severe Crime
612,210 3198 riverwalk avenue,49.205405,-123.03914,killarney,Low Class,Severe Crime
