Address,Price,Neighbourhood,City,Latitude,Longitude
Uph106 - 797 Don Mills Rd,"$569,999",Flemingdon Park,Toronto,43.7195,-79.337719
5 - 205 Bonis Ave,"$899,900",Tam O'shanter Sullivan,Toronto,43.672038,-79.345604
Ph17 - 2111 Lake Shore Blvd W,"$1,475,000",Mimico,Toronto,43.628942,-79.477778
54 Flintridge Rd,"$988,000",Dorset Park,Toronto,43.744651,-79.279067
86 Blossom Cres,"$799,999",Glenfield Jane Heights,Toronto,43.750556,-79.524858
104 - 225 The Donway W,"$1,435,000",Banbury Don Mills,Toronto,43.733391,-79.347625
405 - 2464 Weston Road,"$405,000",Weston,Toronto,43.708257,-79.534202
40 Thorny Vine Way,"$715,000",Bayview Village,Toronto,43.785524,-79.368264
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto,43.623886,-79.479223
613 Old Weston Rd,"$1,088,000",Weston Pellam Park,Toronto,43.678775,-79.464784
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto,43.657325,-79.374332
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto,43.639707,-79.563077
518 - 1060 Sheppard Ave W,"$670,000",York University Heights,Toronto,43.756448,-79.435498
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto,43.676518,-79.359986
48d Crawford St,"$979,000",Niagara,Toronto,43.642757,-79.414423
503 - 75 Dalhousie St,"$629,900",Church Yonge Corridor,Toronto,43.655627,-79.375858
2114 - 158 Front Street,"$528,000",Moss Park,Toronto,43.650304,-79.368781
2405 - 36 Zorra St,"$600,000",Islington City Centre West,Toronto,43.619778,-79.521779
818 - 1 Bedford Rd,"$878,000",Yorkville,Toronto,43.668551,-79.397124
69 Laing Street,"$1,075,000",Greenwood Coxwell,Toronto,43.663451,-79.3269
919 - 38 Joe Shuster Way,"$399,990",South Parkdale,Toronto,43.640417,-79.424649
303 - 18 Pemberton Ave,"$580,000",Newtonbrook East,Toronto,43.781492,-79.413051
906 - 47 Mutual St,"$549,900",Church Yonge Corridor,Toronto,43.654927,-79.374681
3909 - 11 Wellesley St W,"$724,900",Bay Street Corridor,Toronto,43.664526,-79.385583
1401 - 55 Charles St E,"$799,000",Church Yonge Corridor,Toronto,43.668965,-79.383546
425 Cranbrooke Avenue,"$2,695,000",Bedford Park Nortown,Toronto,43.725527,-79.419632
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto,43.804217,-79.168775
18 - 73 Driftwood Ave,"$618,000",Glenfield Jane Heights,Toronto,43.940271,-79.468319
76 Dalegrove Cres,"$2,249,888",Eringate Centennial West Deane,Toronto,43.672816,-79.566661
S319 - 120 Bayview Ave,"$468,000",Waterfront Communities East,Toronto,43.74281,-79.383272
4610 - 138 Downes Street,"$579,000",Waterfront Communities East,Toronto,43.644513,-79.370966
903 - 1103 Leslie St,"$698,000",Banbury Don Mills,Toronto,43.720267,-79.347933
15 Wantanopa Crescent,"$1,338,800",Woburn,Toronto,43.765039,-79.233239
28 Wuthering Heights Road,"$899,900",West Rouge,Toronto,43.782178,-79.129475
458 Donlands Ave,"$899,900",Old East York,Toronto,43.695206,-79.343583
601 - 115 Antibes Dr,"$770,000",Westminister Branson,Toronto,43.779571,-79.445886
1310 - 55 Ontario St,"$565,000",Moss Park,Toronto,43.6535,-79.366255
1104 - 270 Dufferin St,"$699,000",South Parkdale,Toronto,43.638483,-79.427467
Lph14 - 270 Dufferin St,"$999,000",South Parkdale,Toronto,43.638483,-79.427467
206 Brandon Ave,"$1,198,000",Dovercourt Wallace Emerson Junction,Toronto,43.668907,-79.447512
1103 - 123 Portland Street,"$1,189,900",Waterfront Communities West,Toronto,43.646104,-79.400477
105 Gilroy Dr,"$999,999",Dorset Park,Toronto,43.763739,-79.281836
311 Holmes Avenue,"$3,388,000",Willowdale East,Toronto,43.782536,-79.392457
